X,Y,OBJECTID,ParkName,PostKatrinaRehab,ActivePassive,AllPurposeField,AllPurposeFieldRating,BatingCages,BatingCagesRating,Benches,BenchesRating,Bleachers,BleachersRating,BoosterClub,BoosterClubRating,ClubHouse,ClubHouseRating,ConcessionBuilding,ConcessionBuildingRating,DanceStudio,DanceStudioRating,Dugouts,DugoutsRating,FacilityLighting,FacilityLightingRating,Fencing,FencingRating,IndoorBasketball,IndoorBasketballRating,IndoorPool,IndoorPoolRating,OffstreetParking,OffstreetParkingRating,OutdoorBasketball,OutdoorBasketballRating,OutdoorSwimming,OutdoorSwimmingRating,OutdoorCoveredBasketball,OutdoorCoveredBasketballRating,PlaygroundEquipment,PlaygroundEquipmentRating,Portolets,PortoletsRating,RecreationCenter,RecreationCenterRating,RestroomBuilding,RestroomBuildingRating,Showers,ShowersRating,SoccerStadium,SoccerStadiumRating,Stadium,StadiumRating,Stage,StageRating,TennisBuilding,TennisBuildingRating,TennisCourts,TennisCourtsRating,TrackField,TrackFieldRating,VolleyballCourtStandards,VolleyballCourtStandardsRating,WaterFoutains,WaterFountainsRating,GraffitiTrash,WheelchairStroller,ItemsToBeAdded,Notes
3675556.80140872,518186.290186808,16,Lyons Rec Center and Pool,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,Yes,,No,,Yes,0,Yes,0,No,,Yes,,Yes,0,Yes,0,No,,No,,No,,Yes,0,No,,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,Yes,0,No,,No,,No,,Yes,0,Yes,0,Clear,Good,,"Small all-purpose field attached to baseball field; showers at pool, not in locker room"
3661970.23507796,520176.999459982,17,Whitney Young Pool,Unknown,Active,No,,No,,No,,No,,No,,No,,,,No,,No,,Yes,0,Yes,0,No,,No,,Yes,,No,,Yes,0,No,,No,,No,,No,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,Yes,,Clear,Average,,No access- locked
3682268.0954008,538053.812459558,18,Hunters field,Unknown,Active,Yes,2,No,,Yes,1,Yes,2,No,,No,,Yes,1,No,,No,,Yes,2,Yes,2,No,,No,,Yes,2,Yes,2,No,,No,,Yes,2,,,No,,No,,No,,No,,No,,Yes,2,No,,No,,No,,No,,No,,Extensive,Poor,"More visible parking, better fence, water fountain/bathroom, fix basketball hoops","Fence is poor and only on one side of park, excessive graffiti and litter, no restrooms or water fountain, boarded up concession area, lighting appears to be damaged, baseball cage in need of repairs, bleachers in poor location to baseball set up no park sign"
3682129.99823605,541410.472412899,19,Hardin park,Unknown,Active,Yes,0,No,,No,,Yes,1,No,,No,,No,,No,,No,,Yes,,Yes,0,No,,No,,No,,Yes,0,No,,No,,Yes,0,Yes,2,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Average,"Water fountains, concessions/restroom building",Portolet needs to cleaned
3683577.85754505,543419.854877055,20,Perry Rhoem Statium,Unknown,Active,No,,Yes,0,Yes,0,Yes,0,No,,No,,Yes,0,No,,Yes,0,Yes,0,Yes,1,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,Yes,0,Minimal,Average,,No access inside field/stadium. Externally looks good. Fence is pulled up in a few areas
3699441.1397948,539602.378916234,21,Oliver bush playground,Yes,Active,Yes,0,No,,Yes,0,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,0,No,,No,,No,,Yes,0,No,,Yes,0,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,Yes,0,No,,No,,Yes,,Extensive,Good,Stationary trash bins,"Park is in good condition, more than normal amount of litter and blow over trash bins"
3691781.26371038,543817.115565479,22,Sampson playground,Unknown,Active,Yes,0,No,,Yes,1,Yes,0,No,,No,,No,,No,,Yes,0,Yes,0,Yes,1,No,,No,,No,,Yes,1,Yes,0,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Poor,"Water fountains, picnic table under cazebo","Baseball fence rusty and beat up in spots, padded ground blocks need to be finished being laid out on playground, no working water fountain, basketball needs new lines and nets, updated park sign would be nice, horse shoe pole bent and needs replacing"
3679402.22449213,544795.878043652,23,,Unknown,Active,No,,No,,Yes,1,No,,No,,No,,No,,No,,No,,Yes,0,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Average,"Brighter lights, water fountain","Hole in back fence, planter area under bridge full of trash, trash cans graffitied"
3679261.62995705,545078.624197304,24,St Bernard received center,Unknown,Active,No,,No,,Yes,1,No,,No,,No,,No,,No,,No,,No,,Yes,0,No,,No,,No,,No,,Yes,,No,,Yes,0,No,,Yes,1,No,,No,,No,,No,,No,,Yes,,No,,No,,No,,No,,Minimal,Average,,"Building and Benches dirty but in good condition. Went into recovery center and told them why I was there, woman said everything was fine and opened the door for me to leave"
3664616.55393231,536823.194842055,25,Conrad Park,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,No,,No,,No,,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,,,No,,Yes,0,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Average,,"Three basketball goals: one net damaged, one missing; multi-purpose field is extension of baseball field; no access to restroom building"
3663091.6987143,532564.323766649,26,Harrell Playground and Pool,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,,,,,Yes,,No,,No,,Yes,,Yes,0,No,,No,,Yes,0,Yes,0,Yes,,No,,Yes,0,No,,No,,Yes,,,,No,,Yes,0,No,,No,,No,,Yes,2,No,,Yes,2,Minimal,Average,,"Two sets of large (3) bleachers; Lane 8 of track is flooded; no access to buildings"
3668105.3678208,532693.029545978,27,,Unknown,Active,No,,No,,Yes,0,No,,No,,No,,Yes,,No,,Yes,,Yes,,Yes,0,No,,No,,Yes,0,Yes,0,No,,No,,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,2,Clear,Good,,"Water fountain does not work; no access to buildings"
3673139.00276664,527324.171189234,28,,Unknown,Active,Yes,0,Yes,,Yes,0,Yes,0,No,,No,,No,,No,,No,,Yes,,Yes,0,No,,No,,No,,No,,Yes,0,Yes,2,Yes,3,No,,No,,Yes,,,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Poor,,"Three fields, four bleachers, playground flooring cracked and unsteady, basketball court flooded in corner and cosmetic issues"
